# started on Sun Sep 20 21:27:33 2026

55.48;msec;task-clock;55477139;100.00;0.987;CPUs utilized
2;;context-switches;55477139;100.00;36.051;/sec
1;;cpu-migrations;55477139;100.00;18.025;/sec
271;;page-faults;55477139;100.00;4.885;K/sec
36048360;;branches;44519405;80.00;649.788;M/sec
3594974;;branch-misses;44476042;80.00;9.97;of all branches
1051384;;cache-references;44481162;80.00;18.952;M/sec
132687;;cache-misses;44479578;80.00;12.62;of all cache refs
168417960;;cycles;43952369;79.00;;
250398750;;instructions;43952369;79.00;1.49;insn per cycle
